id;nombre;Defensores;Comisarios;Procuradores;Solicitudes sin tramite
AMAZONAS;AMAZONAS;6;2;1;123
ANTIOQUIA;ANTIOQUIA;131;168;7;6261
ARAUCA;ARAUCA;12;8;0;78
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;5;2;1;625
ATLANTICO;ATLÁNTICO;51;42;2;1590
BOLIVAR;BOLÍVAR;35;54;2;468
BOYACA;BOYACÁ;49;130;2;18
CALDAS;CALDAS;44;29;2;148
CAQUETA;CAQUETÁ;21;17;1;3
CASANARE;CASANARE;16;22;1;606
CAUCA;CAUCA;53;42;1;14
CESAR;CAUCA;28;48;1;76
CHOCO;CHOCÓ;19;30;2;32
CORDOBA;CÓRDOBA;31;30;1;611
CUNDINAMARCA;CUNDINAMARCA;73;142;0;2430
GUAINIA;GUAINÍA;3;1;0;209
GUAVIARE;GUAVIARE;5;4;0;126
HUILA;HUILA;38;41;1;51
LA GUAJIRA;LA GUAJIRA;22;15;1;114
MAGDALENA;MAGDALENA;33;30;2;526
META;META;31;60;1;1365
NARIÑO;NARIÑO;60;142;1;8
NORTE DE SANTANDER;NORTE DE SANTANDER;34;44;1;9
PUTUMAYO;PUTUMAYO;13;11;0;11
QUINDIO;QUINDÍO;23;14;2;131
RISARALDA;RISARALDA;34;18;1;10
SANTAFE DE BOGOTA D.C;BOGOTÁ;236;57;15;1920
SANTANDER;SANTANDER;64;151;3;865
SUCRE;SUCRE;29;27;2;148
TOLIMA;TOLIMA;58;53;1;100
VALLE DEL CAUCA;VALLE DEL CAUCA;150;63;5;1290
VAUPES;VAUPÉS;3;3;0;97
VICHADA;VICHADA;7;4;0;34